P070100,,Support Services
,P070101,Corporate Office
,P070102,Finance
,P070103,Human Resource (HR)
,P070104,Communication & Public Relations (PR)
,P070105,Procurement
,P070106,Information and Communication Technology (ICT)
,P070107,General services
,P070108,Legal Affairs
,P070109,Internal Audit and Risk Management
,P070110,Strategic Planning
,P070111,"Digital Transformation, Data Management & AI"
P070200,,"Culture Management, and Preservation"
,P070201,Heritage Site Management
,P070202,Cultural Education
,P070203,Collection management
,P070204,Cultural Preservation
,P070205,Cultural site management
,P070206,Cultural Events
P070300,,Culture and Creative Industry development
,P070301,Creative Industry development
,P070302,Regulatory and Capacity Building (Culture)
,P070303,Cultural Industries Development
P070400,,Museums Operations and Development
,P070401,Museums Operations
,P070402,Museums development
,P070403,Museum Obligation
P070500,,Tourism Development Program
,P070501,Tourism attraction and activities
,P070502,Regulatory and Capacity Building (Tourism)
,P070503,Enhance Visitor Experience
P070600,,Marketing and Promotion
,P070601,Destination Marketing
,P070602,Global Awareness and Outreach
,P070603,Culture awareness and outreach
P070700,,ALC
,P070701,ALC Development & Research
,P070702,ALC Awards and grants
,P070703,ALC Events
,P070704,ALC Advancing readership
,P070705,ALC Promotion
